Queen Julien,Thu Sep,RT KTNKenya If MPs approve President Uhuru Kenyatta s tax proposals sending money via mobile transfer will be more expensive https t c,0.0,0.6
charles kihoro,Thu Sep,RT EngnrDan A photo of Mbadi running away from Parliament so that it can lack quorum to shoot down Uhuru s tax proposals TaxVoteKe Fin,-0.15555555555555559,0.2888888888888889
carolyne rocazz,Thu Sep,RT CatzWinston FinanceBill What if we all meet at Uhuru Park and do a national fundraising to pay these China debts once and for al,0.0,0.0
Josephmwangimakos,Thu Sep,RT NyarMaragoli Of late when alone I find myself singing to Ben Githae s Tano Tena Ndani ndani ndaani kule State House Uhuru Ruto,-0.3,0.6
Charles Kihuha,Thu Sep,RT BD Africa SPEAKER MUTURI orders second round of voting on Uhuru fuel levy proposal after disputing number of MPs in the House,-0.1,0.2
Lord Impaler,Thu Sep,RT BD Africa SPEAKER MUTURI orders second round of voting on Uhuru fuel levy proposal after disputing number of MPs in the House,-0.1,0.2
Ms M,Thu Sep,RT Ngaruthi Someone woke up two times in a year to vote for Uhuru Kenyatta and now their best line of defense is that we are ALL sufferin,1.0,0.3
neham nzilani,Thu Sep,RT VictorMochere What if we all meet at Uhuru Park and do a national fundraising to pay these China debts once and for all Chief guest,0.0,0.0
Kipngetich Kipsanai,Thu Sep,RT EngnrDan A photo of Mbadi running away from Parliament so that it can lack quorum to shoot down Uhuru s tax proposals TaxVoteKe Fin,-0.15555555555555559,0.2888888888888889
Piptin,Thu Sep,RT amerix Dear Kumira brigade This is how we felt when IEBC stole the vote We got disgusted by the RED BANNER of Breaking News as se,-0.5,0.5
Wilson N Wylsten,Thu Sep,RT SheilaLMaina What do you think Uhuru has been doing with us https t co d taIJSVV,0.0,0.0
Kipngetich Kipsanai,Thu Sep,RT TheStarBreaking SPEAKER Justin Muturi orders for a second round of voting on President Uhuru Kenyatta s eight per cent VAT on fuel pro,-0.1,0.2
Muhsin,Thu Sep,SPEAKER MUTURI orders second round of voting on Uhuru fuel levy proposal after disputing number of MPs in the House https t co fCJg pegf,-0.1,0.2
Mwanthi,Thu Sep,RT innchy jay Next election Uhuru Raila and Ruto will line to elect their MPs because that s who MPs work for not you ordinary mwanainch,0.18333333333333335,0.4666666666666666
