Tweet,Sentiment
@jvargasnow Considering the full spectrum of attacks against Trump from the minute he said he would run is an indic https://t.co/3PISyZe7hi,neutral
The new corruption https://t.co/b9mfKiCKjx via @IndianExpress,neutral
"Did you notice, something happens in the US, we get the same headake, Illegal immigrant, ANTIFA, ISIS, shooters, sa https://t.co/J6os74xbni",neutral
"President Peter Munthalika last night on MBC interview - ""Corruption in Malawi is just a matter of perception...... https://t.co/e0S5kX27Fu",neutral
"@suleiman_ganiyu @iyaboawokoya @donpanacio @GovAyoFayose @officialEFCC Mind u,d cases against Nyame n Dariye were i https://t.co/Omd9vbbCak",neutral
"Thus the authorities of Ukraine are struggling with corruption

 #Ukraine #Poroshenko #Corruption
 
@nikkihaley https://t.co/5kbkazKalV",neutral
"@JeffFlake Time for All Election corruption to be investigated.

No more Partisanship.  There's No Russian Collusio https://t.co/WaWGB7Iexq",neutral
"Maurice Oduor: If we fight corruption in his country then the big 4 agenda will fall into place, otherwise nothing https://t.co/ESiHNZOsdo",neutral
Corruption at its peak !! https://t.co/D61zB7ufKB,neutral
They should not be able to walk down the street. https://t.co/Oc3mSrAB8L,neutral
@bainjal  Mam this data is  in circulation on social media as proof  of Modi's action against corruption...is this https://t.co/elNvFYVvZ0,neutral
@SenFeinstein It appears that the GOP also knew about this month's ago as they had their 65 person letter ready to https://t.co/iphuvseVxm,negative
Corruption...... https://t.co/lnvPpCeo0K,neutral
@DemocracyJourno Ok but manana. Falling asleep at the table here. Global corruption is just depressing. Dems have no weapons but votes.,negative
"@stevenbangeruwu @Patrickesque @nickconfessore Like I said: if she has some shady corruption, shouldn't the GOP and https://t.co/O2FAC4lyvl",neutral
Lol looks. Judge. Cox. Gang. Mills. Enemy dicks in. Pic. Miami. Fbi. Facts. Law. Corruption dick. Facts,neutral
"Sir,ensure Corruption free online permissions licensing registration certificates to MSMEs.Still many govt departme https://t.co/yirBE1XqOH",neutral
"@GovAyoFayose @officialEFCC Peter you will be the next EFCC chairmanship when pdp take over from 2019, and i trust https://t.co/KzDJEnUAEd",neutral
"I weak for this govt mehn. They are fighting corruption. Yet, couldn't use the proceeds to proceed https://t.co/5A6kTykCNN",negative
@IntlCrimCourt In this video (yesterday) about the corruption investigation Commission of the spanish exPresident p https://t.co/NdWjWZG1Er,neutral
"@RasnaWarah Remember your publication about corruption in the INGOs, the humanity needs you. Not many of us have th https://t.co/waoDzLdLK6",negative
".@SenTedCruz

Watch Out...Ted Cruz!

@RepBetoORourke is Coming. I am voting for him, along with many people I've ta https://t.co/jB1rCm8wQ1",positive
Only strong institutions can fight corruption  Steel workers https://t.co/D5QRKsc7cD,neutral
@drnmanyika It would be better to pay back after the money has been put to good https://t.co/TFLg9ScZ3q other natio https://t.co/teiH8FYyWt,neutral
@HyphenatedZuma It's impossible to separate Capitalism from corruption. That does not mean that Socialism is immune https://t.co/mg21gC2WXc,neutral
@OkiroMakena @nyamweyaJ In this country the higher the tax the higher the levels of corruption,neutral
The west should have froze aid a long time ago. This isn't the first time they may have received corruption alerts https://t.co/ugj8KzlLJ9,negative
"@RealJamesWoods @poeticlargess Ah yes, the breathtaking corruption. When will she be held accountable for it?",neutral
@freshfmibadan Where is the change promised? When APC is doing the same thing PDP did in the last 16 years .... How https://t.co/hZnqJTUIgl,negative
@JustusTx @WaydeDe @Adorable_Todd @mrtweeterverse @cwilliams1113wy @Mamma_Janet @HarrietNix @WeidnerRoger https://t.co/l204Wg8bIA,neutral
"A few weeks ago parliament wasn't even a problem BUT now they are the only problem. On a scale of corruption, greed https://t.co/tVvaFsQa9O",negative
@INA99thBrigade @dikgaj 1) Ty for the links. I had read the first link previously. Yes I agree with the link's auth https://t.co/MtkL1B6yF8,positive
"The Truth about Pharma corruption in Govts Healthcare &amp; Universities
Ireland Take Note!
https://t.co/62y42eBmrP",neutral
"On March 1st, the #FBI arrested #CaseyMoreland again, saying he continued his attempts to hamstring the case by https://t.co/r2Y2dps2hK",neutral
"This Course help you to know about 
1. Understanding corruption
2. The craft of corruption
3. High-risk countries, https://t.co/nDT8w2bxjf",neutral
"@lln328 @FoxNews Trump isn't good enough for decent people to even listen too.  Lies, corruption, and raking in as https://t.co/R28acMxdTc",negative
